nodes,flows,pps,pkt_size,tx_range,coverage_mult,sim_time,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J
60,10,300,1024,5,1,40,1.70088,1.56983,99.7184,0.265324,2016.54
40,40,200,1024,3,1,40,2.37614,2.79577,99.4468,0.44876,1344.15
60,10,400,1024,2,1,40,2.29921,2.52955,99.0062,0.52285,2023.5
40,40,200,1024,4,1,40,2.39684,3.14935,99.2591,0.412434,1345.89
100,10,200,1024,5,1,40,0.686358,22.3047,96.6189,2.75264,3389.57
40,40,200,1024,5,1,40,2.39218,5.09587,99.0061,0.779817,1348.64
60,10,400,1024,3,1,40,2.35944,3.7156,99.4175,0.159217,2025.74
40,40,300,1024,2,1,40,3.14915,3.07297,98.6992,0.817012,1353.55
60,10,400,1024,4,1,40,2.29063,2.69705,99.1131,0.866925,2024.07
100,10,300,1024,2,1,40,0.872572,19.6769,97.9225,1.63589,3386.82
60,10,400,1024,5,1,40,2.26951,2.94534,99.2561,0.723671,2023.63
80,10,100,1024,2,1,40,0.378495,7.49313,97.9683,1.72455,2691.2
80,10,100,1024,3,1,40,0.37437,15.1304,97.7305,1.77305,2693.47
80,10,100,1024,4,1,40,0.381517,8.87238,97.8337,1.70044,2694.83
80,10,100,1024,5,1,40,0.369753,5.42822,98.5151,1.33885,2690.7
80,10,200,1024,2,1,40,0.869744,10.4333,98.5623,0.651634,2700.63
80,10,200,1024,3,1,40,0.735571,9.18694,98.7401,1.02752,2696.79
80,10,200,1024,4,1,40,0.75996,8.86494,98.3266,1.17493,2697.79
80,10,200,1024,5,1,40,0.772524,11.7734,98.174,1.47709,2697
80,10,300,1024,2,1,40,1.21686,10.9549,98.7142,0.569022,2702.72
80,10,300,1024,3,1,40,1.10787,9.85781,98.6253,1.13063,2700.93
80,10,300,1024,4,1,40,1.2415,14.4095,98.1532,1.29348,2705.4
80,10,300,1024,5,1,40,1.16338,9.80742,99.1787,0.550132,2702.74
80,10,400,1024,2,1,40,1.83879,12.3806,98.1706,1.48699,2715.43
80,10,400,1024,3,1,40,1.53571,11.2324,98.6872,0.732579,2708.13
80,10,400,1024,4,1,40,1.61221,11.0779,99.3091,0.415684,2710.79
80,10,400,1024,5,1,40,1.54004,12.9684,97.8914,1.04269,2711.61
